"","tip_names_in_data_matrix","kingdom","phylum","subphylum","class","subclass","infraclass","cohort","order","suborder","infraorder","superfamily","family","subfamily","genus","species","metamorphosis","gs_value","gs_sd","gs_cv","best_method","n_records"
"58","Diptera_Anopheles_gambiae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Anophelinae","Anopheles","Anopheles gambiae","Complete",264.06,NA,NA,"BCA",1
"59","Diptera_Anopheles_labranchiae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Anophelinae","Anopheles","Anopheles labranchiae","Complete",224.94,NA,NA,"FD",1
"60","Diptera_Anopheles_quadrimaculatus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Anophelinae","Anopheles","Anopheles quadrimaculatus","Complete",244.5,NA,NA,"FD",1
"61","Diptera_Anopheles_stephensi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Anophelinae","Anopheles","Anopheles stephensi","Complete",234.72,NA,NA,"FD",1
"62","Diptera_Calliphora_vicina","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Calliphorinae","Calliphora","Calliphora vicina","Complete",743.28,NA,NA,"FCM",1
"63","Diptera_Chaoborus_americanus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Chaoboridae","Chaoborinae","Chaoborus","Chaoborus americanus","Complete",391.2,NA,NA,"FD",1
"64","Diptera_Chironomus_tentans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Chironomus","Chironomus tentans","Complete",229.83,20.7465129600133,0.090268950789772,"BCA",2
"65","Diptera_Chrysomya_megacephala","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Chrysomya","Chrysomya megacephala","Complete",655.26,NA,NA,"FCM",1
"66","Diptera_Chrysomya_pinguis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Chrysomya","Chrysomya pinguis","Complete",1134.48,NA,NA,"FD",1
"67","Diptera_Chrysomya_rufifacies","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Chrysomya","Chrysomya rufifacies","Complete",430.32,NA,NA,"FCM",1
"68","Diptera_Chrysomya_varipes","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Chrysomya","Chrysomya varipes","Complete",508.56,NA,NA,"FD",1
"69","Diptera_Clogmia_albipunctata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Psychodomorpha","Psychodoidea","Psychodidae","Psychodinae","Clogmia","Clogmia albipunctata","Complete",312.96,0,0,"FCM",2
"70","Diptera_Cochliomyia_hominivorax","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Oestroidea","Calliphoridae","Chrysomyinae","Cochliomyia","Cochliomyia hominivorax","Complete",440.1,NA,NA,"FCM",1
"71","Diptera_Culex_pipiens","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Culicinae","Culex","Culex pipiens","Complete",762.84,331.944207360213,0.435142634576337,"FD",2
"72","Diptera_Culex_quinquefasciatus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Culicinae","Culex","Culex quinquefasciatus","Complete",528.12,NA,NA,"FD",1
"73","Diptera_Delia_antiqua","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","Anthomyiinae","Delia","Delia antiqua","Complete",713.94,NA,NA,"FD",1
"74","Diptera_Drosophila_albomicans","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila albomicans","Complete",218.25,3.32340187157677,0.0152274999843151,NA,2
"75","Diptera_Drosophila_ambigua","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila ambigua","Complete",176.04,NA,NA,"FCM",1
"76","Diptera_Drosophila_americana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila americana","Complete",273.84,NA,NA,"FCM",1
"77","Diptera_Drosophila_ananassae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila ananassae","Complete",198.86,14.939196765556,0.0751241917205876,"FCM",3
"78","Diptera_Drosophila_arawakana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila arawakana","Complete",183.75,3.74766594028871,0.0203954608995304,NA,2
"79","Diptera_Drosophila_arizonae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila arizonae","Complete",174.65,1.06066017177982,0.00607306139009345,NA,2
"80","Diptera_Drosophila_auraria","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila auraria","Complete",244.5,NA,NA,"FCM",1
"81","Diptera_Drosophila_azteca","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila azteca","Complete",195.6,NA,NA,"FCM",1
"82","Diptera_Drosophila_baimaii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila baimaii","Complete",273.84,NA,NA,"FCM",1
"83","Diptera_Drosophila_barbarae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila barbarae","Complete",195.6,NA,NA,"FCM",1
"84","Diptera_Drosophila_biarmipes","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila biarmipes","Complete",195.6,NA,NA,"FCM",1
"85","Diptera_Drosophila_biauraria","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila biauraria","Complete",224.94,NA,NA,"FCM",1
"86","Diptera_Drosophila_bifasciata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila bifasciata","Complete",195.6,NA,NA,"FCM",1
"87","Diptera_Drosophila_bipectinata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila bipectinata","Complete",195.6,NA,NA,"FCM",1
"88","Diptera_Drosophila_birchii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila birchii","Complete",195.6,NA,NA,"FCM",1
"89","Diptera_Drosophila_bunnanda","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila bunnanda","Complete",215.16,NA,NA,"FCM",1
"90","Diptera_Drosophila_busckii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila busckii","Complete",166.26,41.4930259200266,0.249567099242311,"FCM",2
"91","Diptera_Drosophila_buzzatii","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","Drosophilinae","Drosophila","Drosophila buzzatii","Complete",176.04,NA,NA,"FCM",1
